"group","no","id","o1","o1_hat","o2","o2_hat","theta1","theta2","psi1","psi2","int1","int2","lin1","lin2","sec1"
1,19,"mgamma_pos",2,2.37139074046728,0,1.25025482802753,0.964425433910991,0.780193594616773,NA,NA,-4.88714347117665,0.316926089594298,-0.0043631100463484,-0.0492419793843412,0.000514513795712045
2,19,"mgamma_pos",6,4.14839861669618,4,5.54706599989374,1.31338178624427,0.867499828765935,NA,NA,-4.88714347117665,0.316926089594298,-0.0043631100463484,-0.0492419793843412,0.000514513795712045
3,19,"mgamma_pos",18,12.2794159202261,9,4.03130902334595,1.40146263586387,1.68028604978369,NA,NA,-4.88714347117665,0.316926089594298,-0.0043631100463484,-0.0492419793843412,0.000514513795712045
4,19,"mgamma_pos",6,3.53846094868707,2,0.995263152554126,1.4352900083603,1.28029363287137,NA,NA,-4.88714347117665,0.316926089594298,-0.0043631100463484,-0.0492419793843412,0.000514513795712045
5,19,"mgamma_pos",11,19.4545517237815,9,12.648240483525,0.635069906657796,0.787862924071002,NA,NA,-4.88714347117665,0.316926089594298,-0.0043631100463484,-0.0492419793843412,0.000514513795712045
6,19,"mgamma_pos",0,15.7565653961705,0,9.38333243600596e-15,0.0392577451331776,0.898423188651006,NA,NA,-4.88714347117665,0.316926089594298,-0.0043631100463484,-0.0492419793843412,0.000514513795712045
7,19,"mgamma_pos",1,0.348294915937307,1,1.39897552584534,1.27748119596092,0.972885303087447,NA,NA,-4.88714347117665,0.316926089594298,-0.0043631100463484,-0.0492419793843412,0.000514513795712045
8,19,"mgamma_pos",5,9.11259545600247,3,1.33263393691027,0.692544396772283,1.37563332879531,NA,NA,-4.88714347117665,0.316926089594298,-0.0043631100463484,-0.0492419793843412,0.000514513795712045
9,19,"mgamma_pos",29,19.1159726739361,15,6.29212974776724,1.46504628894336,1.89878773928456,NA,NA,-4.88714347117665,0.316926089594298,-0.0043631100463484,-0.0492419793843412,0.000514513795712045
10,19,"mgamma_pos",235,88.9761002821177,190,118.680279517928,2.58843548514989,1.58527727331362,NA,NA,-4.88714347117665,0.316926089594298,-0.0043631100463484,-0.0492419793843412,0.000514513795712045
11,19,"mgamma_pos",47,82.9228256625207,17,16.4192706379478,0.586491630583836,1.04082421306187,NA,NA,-4.88714347117665,0.316926089594298,-0.0043631100463484,-0.0492419793843412,0.000514513795712045
12,19,"mgamma_pos",1,6.45995497007589,0,0.139038482211474,0.302622517104791,0.860185020628112,NA,NA,-4.88714347117665,0.316926089594298,-0.0043631100463484,-0.0492419793843412,0.000514513795712045
13,19,"mgamma_pos",3,2.79666135957901,2,2.66803592346448,1.09788123892828,0.93875631636123,NA,NA,-4.88714347117665,0.316926089594298,-0.0043631100463484,-0.0492419793843412,0.000514513795712045
14,19,"mgamma_pos",1,1.67879991932917,1,0.537100024378641,0.899047114906481,1.15354662255751,NA,NA,-4.88714347117665,0.316926089594298,-0.0043631100463484,-0.0492419793843412,0.000514513795712045
15,19,"mgamma_pos",0,0.902119428578539,0,9.38333243600596e-15,0.645589875496456,0.988323241481961,NA,NA,-4.88714347117665,0.316926089594298,-0.0043631100463484,-0.0492419793843412,0.000514513795712045
16,19,"mgamma_pos",6,8.8854751256566,3,2.27482766417372,0.791557828805354,1.16396686339399,NA,NA,-4.88714347117665,0.316926089594298,-0.0043631100463484,-0.0492419793843412,0.000514513795712045
17,19,"mgamma_pos",0,0.706974980577746,0,9.38333243600596e-15,0.703776432940854,0.997074801813822,NA,NA,-4.88714347117665,0.316926089594298,-0.0043631100463484,-0.0492419793843412,0.000514513795712045
18,19,"mgamma_pos",1,0.510108205702523,1,0.421994217061275,1.22877840199223,1.2039879143534,NA,NA,-4.88714347117665,0.316926089594298,-0.0043631100463484,-0.0492419793843412,0.000514513795712045
19,19,"mgamma_pos",3,0.889768721837805,0,0.52200032755346,1.6203916433277,0.950324953892148,NA,NA,-4.88714347117665,0.316926089594298,-0.0043631100463484,-0.0492419793843412,0.000514513795712045
20,19,"mgamma_pos",0,3.17599546052591,0,9.38333243600596e-15,0.25732300670499,0.912284720087817,NA,NA,-4.88714347117665,0.316926089594298,-0.0043631100463484,-0.0492419793843412,0.000514513795712045
21,19,"mgamma_pos",204,242.850521892894,57,84.2479458364348,0.843776315866162,0.693590576777288,NA,NA,-4.88714347117665,0.316926089594298,-0.0043631100463484,-0.0492419793843412,0.000514513795712045
