"group","no","id","o1","o1_hat","o2","o2_hat","theta1","theta2","psi1","psi2","int1","int2","lin1","lin2","sec1"
1,22,"mgamma_pos",1,2.52492281759194,0,0.029654032406117,0.637096210348731,0.924454733207972,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
2,22,"mgamma_pos",5,4.5003021662984,3,6.56549788799969,1.02638315702052,0.688954422527061,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
3,22,"mgamma_pos",20,11.4120960606998,12,5.23445029776181,1.61295143652079,1.90063299633779,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
4,22,"mgamma_pos",4,3.38541619111665,2,1.18650877580069,1.16864508038646,1.3568900976224,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
5,22,"mgamma_pos",10,21.0414959149896,7,19.1673307127796,0.476339796287781,0.430015301350128,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
6,22,"mgamma_pos",4,15.4027372379264,0,1.2442873385661,0.300367815768781,0.501965542308853,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
7,22,"mgamma_pos",0,0.387234990117249,0,8.29005013481514e-15,0.760065387591197,0.970491179778139,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
8,22,"mgamma_pos",14,8.56014343186377,10,3.8049494201638,1.5049903169834,1.99905139052194,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
9,22,"mgamma_pos",37,18.9865422925907,17,12.5373879822972,1.81656471052724,1.34906867508403,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
10,22,"mgamma_pos",264,93.6445955589459,219,145.464401021336,2.74870659058645,1.5011453816489,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
11,22,"mgamma_pos",58,80.6776910635275,24,24.9768271478254,0.733219462401977,0.977967867534932,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
12,22,"mgamma_pos",0,6.15643485603572,0,8.29005013481514e-15,0.175652730043991,0.583359597480625,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
13,22,"mgamma_pos",3,3.04093358456379,1,2.63657945070475,0.939473936765015,0.780390499520772,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
14,22,"mgamma_pos",0,1.79074813150503,0,8.29005013481514e-15,0.447833392865781,0.791249718718037,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
15,22,"mgamma_pos",0,1.03399286842772,0,8.29005013481514e-15,0.586922478476197,0.878308713238554,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
16,22,"mgamma_pos",1,9.49020544107052,1,0.435307603110312,0.227896348677265,0.811370375463237,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
17,22,"mgamma_pos",0,0.850419786500013,0,8.29005013481514e-15,0.630174533875412,0.902930527416457,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
18,22,"mgamma_pos",1,0.534752406767858,1,0.0947253978574091,1.21048535472987,1.46488375858367,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
19,22,"mgamma_pos",2,0.815269548636003,0,0.16105841547876,1.31986769952651,1.17219558533659,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
20,22,"mgamma_pos",0,3.1784928213907,0,8.29005013481514e-15,0.301106053922711,0.68522547689551,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
21,22,"mgamma_pos",213,237.538850354004,69,85.0972040167568,0.899659808379918,0.825727513869326,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
22,22,"mgamma_pos",132,123.463475345803,51,53.4573045486287,1.07293909292744,0.973983193178203,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
23,22,"mgamma_pos",0,0.771541203509824,0,8.29005013481514e-15,0.650109354856137,0.913910058545197,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
24,22,"mgamma_pos",0,3.75746869933213,0,8.29005013481514e-15,0.263848902649923,0.655932211420423,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
25,22,"mgamma_pos",18,56.9853794412272,16,18.6775416827004,0.329837865206041,0.824408336813228,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
26,22,"mgamma_pos",1,0.801998047073128,0,0.62212220983563,0.969251155631891,0.912607324062421,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
27,22,"mgamma_pos",6,8.44667453973446,4,8.97959375301392,0.711110210771254,0.585657298204709,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
28,22,"mgamma_pos",229,172.623476525922,134,206.354221248937,1.3224904472361,0.660363277169629,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
29,22,"mgamma_pos",0,1.05222574262523,0,8.29005013481514e-15,0.582855843123831,0.875936295361614,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
30,22,"mgamma_pos",3,1.94160620945693,3,0.847314473538693,1.31673095760184,1.72568550348161,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
31,22,"mgamma_pos",0,1.30078179878422,0,8.29005013481514e-15,0.531248655444558,0.844946439274362,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
32,22,"mgamma_pos",0,0.743953761965754,0,8.29005013481514e-15,0.657281962278659,0.917804774619653,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
33,22,"mgamma_pos",46,34.5539738143166,22,16.6302449585139,1.32075780178199,1.32076623615679,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
34,22,"mgamma_pos",1,3.03192205011442,0,0.149167581260096,0.550815311631273,0.837109661865129,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
35,22,"mgamma_pos",0,0.727468977011794,0,8.29005013481514e-15,0.661618471748992,0.920145310562281,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
36,22,"mgamma_pos",41,20.9410083816305,23,11.7080121484368,1.8350184701907,1.81464531634391,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
37,22,"mgamma_pos",28,14.0442986105575,25,21.0487906241703,1.81481718464948,1.20795198760736,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
38,22,"mgamma_pos",14,14.4922952846584,13,10.3629767596258,1.015725811771,1.25416355088221,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
39,22,"mgamma_pos",43,33.1492638685564,39,20.1851166758038,1.29195679584001,1.83948524697074,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
40,22,"mgamma_pos",197,140.630547462288,86,73.0406055044148,1.39595435004003,1.18398357466164,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
41,22,"mgamma_pos",13,8.99819821906594,9,9.80717326448871,1.36396339563237,1.01853975815441,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
42,22,"mgamma_pos",0,3.27553089726139,0,8.29005013481514e-15,0.294154446568391,0.679829315175075,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
43,22,"mgamma_pos",14,152.487119665026,3,6.54524890469569,0.100599346068715,0.51292668717814,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
44,22,"mgamma_pos",0,0.397870862090634,0,8.29005013481514e-15,0.75671639926497,0.968863901855095,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
45,22,"mgamma_pos",1,2.08562335527984,1,0.140497373702927,0.81615981772179,1.30751895473019,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
46,22,"mgamma_pos",4,3.6137939683126,2,1.45774965773785,1.12152237499781,1.26956118935451,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
47,22,"mgamma_pos",1,2.91818129729206,1,0.0595235386911187,0.67778630370668,1.26438844144633,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
48,22,"mgamma_pos",41,123.971093470768,28,76.1287466504357,0.334059115411694,0.384333758522447,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
49,22,"mgamma_pos",5,6.77388750625057,3,5.57702119174549,0.768831567571781,0.718215052359561,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
50,22,"mgamma_pos",2,3.88616138883702,2,2.78568266336488,0.65876785372031,0.845181229652567,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
51,22,"mgamma_pos",5,4.45018333838252,0,1.39917877177045,1.04391035823398,0.811476655165499,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
52,22,"mgamma_pos",1,0.806587071592652,0,0.0552393569361739,1.03004611911832,1.10413166749262,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
53,22,"mgamma_pos",3,1.32610091024964,3,1.2808118081332,1.46011322534577,1.57415643730537,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
54,22,"mgamma_pos",2,0.903005959612438,1,1.63718691107989,1.27797401760229,1.01964166077364,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
55,22,"mgamma_pos",1,7.69024152702066,1,0.289408897193095,0.281472446423227,0.885069313359054,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
56,22,"mgamma_pos",19,13.6399440913195,13,11.3127857224907,1.35176403596287,1.18673183298226,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
57,22,"mgamma_pos",1,0.39205964448934,1,0.0756586914378866,1.25803195712293,1.48401517599677,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
58,22,"mgamma_pos",102,187.925636849822,83,120.52164484918,0.544658064912095,0.692450540993713,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
59,22,"mgamma_pos",1,2.42270307686881,1,0.631115352554649,0.707249791071838,1.0826170286683,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
60,22,"mgamma_pos",277,227.852919975763,130,93.2843824098344,1.2162199248211,1.39043146354354,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
61,22,"mgamma_pos",1,0.839285975132993,1,0.14384418983626,1.11480675362587,1.41870235175706,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
62,22,"mgamma_pos",0,0.564026805113987,0,8.29005013481514e-15,0.706724913610454,0.943866804853896,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
63,22,"mgamma_pos",67,110.240378739813,52,100.526507437805,0.606752180553051,0.528354174891538,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
64,22,"mgamma_pos",2,0.52066729584012,1,3.93354571063887,1.28712163293876,0.68428973526569,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
65,22,"mgamma_pos",37,14.9405858446,25,10.5238768302631,2.19735337928608,2.11124257272365,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
66,22,"mgamma_pos",0,1.02452002171035,0,8.29005013481514e-15,0.589051173350532,0.879546580155491,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
67,22,"mgamma_pos",11,78.9090759376905,0,9.19691592716756,0.146674079496434,0.130910890165989,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
68,22,"mgamma_pos",8,54.6923187972223,3,3.25325940799052,0.168132699630922,0.749178962034622,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
69,22,"mgamma_pos",11,13.4804457843094,3,8.25795860621017,0.799138588597232,0.55023993491404,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
70,22,"mgamma_pos",8,50.6790638850202,7,8.31374517735207,0.180781058704835,0.767774745225371,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
71,22,"mgamma_pos",0,0.536396253115084,0,8.29005013481514e-15,0.714741139728947,0.947965344475629,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
72,22,"mgamma_pos",17,17.8326380407823,8,18.7449723742619,0.92923285470119,0.527455960469292,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
73,22,"mgamma_pos",0,0.665567376549075,0,8.29005013481514e-15,0.678245433720231,0.929021086462889,NA,NA,-5.0286987297999,-0.0205796642878857,0.00891052144516988,-0.043240600413419,0.000323610056453382
